name,category,ra_deg,dec_deg,r_proj_mpc,v_kms,v_mean_kms,delta_v_kms,sigma_v_kms,v_over_sigma,has_emission,slope_dex_per_Re,slope_error_dex_per_Re,gradient_method
984.0,background,186.8055801,12.7347647,0.27946817294519233,1892.0,1454.388888888889,437.6111111111111,223.8834094919756,1.95463840801833,,,,
990.0,background,186.8205856,16.0244642,1.084498780969922,1704.0,1454.388888888889,249.6111111111111,223.8834094919756,1.1149156236163966,,,,
1003.0,background,186.8604863,11.1076843,0.4456903216826392,1104.0,1454.388888888889,-350.3888888888889,223.8834094919756,-1.5650507095812631,,,,
1010.0,background,186.8640813,12.290279,0.2458756183732204,930.0,1454.388888888889,-524.3888888888889,223.8834094919756,-2.3422409462085843,,,,
1017.0,background,186.8814384,9.5956422,0.8452119302949391,32.0,1454.388888888889,-1422.388888888889,223.8834094919756,-6.353257224894415,,,,
1020.0,background,186.8833845,11.6151815,0.3279217562250498,1379.0,1454.388888888889,-75.38888888888891,223.8834094919756,-0.33673280686566903,,,,
1025.0,background,186.9028317,8.154342,1.2505431694842726,1070.0,1454.388888888889,-384.3888888888889,223.8834094919756,-1.7169154684624637,,,,
1027.0,background,186.9134916,12.8798909,0.2699997983561207,77.0,1454.388888888889,-1377.388888888889,223.8834094919756,-6.152259749904591,,,,
1030.0,background,186.9187168,13.0789836,0.30316160396470493,791.0,1454.388888888889,-663.3888888888889,223.8834094919756,-2.9630998133993756,,,,
1035.0,background,186.9254486,12.0896455,0.24263259849921018,146.0,1454.388888888889,-1308.388888888889,223.8834094919756,-5.8440636215868595,,,,
1036.0,background,186.9218156,12.3158886,0.22843161969915385,1113.0,1454.388888888889,-341.3888888888889,223.8834094919756,-1.5248512145832982,,,,
1043.0,background,186.9402024,13.0088742,0.28531171862460014,71.0,1454.388888888889,-1383.388888888889,223.8834094919756,-6.179059413236567,,,,
1049.0,background,186.978472,8.090403,1.2649231142414004,607.0,1454.388888888889,-847.3888888888889,223.8834094919756,-3.7849561555799913,,,,
1059.0,background,187.0018514,11.9498934,0.2409583151172115,2216.0,1454.388888888889,761.6111111111111,223.8834094919756,3.401820227945066,,,,
1062.0,background,187.0161468,9.8037122,0.7765533120577512,547.0,1454.388888888889,-907.3888888888889,223.8834094919756,-4.052952788899757,,,,
1069.0,background,187.027212,12.8981447,0.24568067143701908,2326.0,1454.388888888889,871.6111111111111,223.8834094919756,3.893147389031304,,,,
1073.0,background,187.0358723,12.0932857,0.21264254492434193,1921.0,1454.388888888889,466.6111111111111,223.8834094919756,2.0841701141228834,,,,
1075.0,background,187.0513119,10.2976486,0.6360937751852354,1808.0,1454.388888888889,353.6111111111111,223.8834094919756,1.5794431213706577,,,,
1076.0,background,187.0534826,10.5260342,0.5730128891748286,1679.0,1454.388888888889,224.6111111111111,223.8834094919756,1.0032503597331608,,,,
1079.0,background,187.050112,10.3652855,0.617507755782981,1354.0,1454.388888888889,-100.38888888888891,223.8834094919756,-0.44839807074890486,,,,
1087.0,background,187.0619636,11.7898823,0.2554888047716217,659.0,1454.388888888889,-795.3888888888889,223.8834094919756,-3.5526924067028607,,,,
1093.0,background,187.0780927,11.7002572,0.2707186844821036,1476.0,1454.388888888889,21.611111111111086,223.8834094919756,0.09652841700128596,,,,
1101.0,background,187.0985017,13.1957565,0.29236613455983085,1670.0,1454.388888888889,215.6111111111111,223.8834094919756,0.963050864735196,,,,
1104.0,background,187.1169051,12.8236946,0.2119278167819607,1707.0,1454.388888888889,252.6111111111111,223.8834094919756,1.1283154552823849,,,,
1110.0,background,187.1232946,17.0850198,1.3716765802080602,1956.0,1454.388888888889,501.6111111111111,223.8834094919756,2.240501483559414,,,,
1122.0,background,187.1737961,12.9158877,0.21673039778309425,465.0,1454.388888888889,-989.3888888888889,223.8834094919756,-4.41921485443677,,,,
1125.0,background,187.180447,11.7550324,0.2392664853595598,162.0,1454.388888888889,-1292.388888888889,223.8834094919756,-5.772597852701589,,,,
1129.0,background,187.1871314,12.8095314,0.19328001477869125,12.0,1454.388888888889,-1442.388888888889,223.8834094919756,-6.442589436001004,,,,
1131.0,background,187.1907795,12.0218433,0.18380709556364497,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
1136.0,background,187.2046093,12.1318006,0.16367640669748112,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
1148.0,background,187.2422494,12.6617298,0.15568728147427513,1417.0,1454.388888888889,-37.388888888888914,223.8834094919756,-0.16700160576315057,,,,
1149.0,background,187.2451828,12.9079984,0.20079915655364844,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
1154.0,background,187.2501631,13.9784745,0.4789303725794175,1192.0,1454.388888888889,-262.3888888888889,223.8834094919756,-1.171988980712273,,,,
1158.0,background,187.2625503,13.183801,0.26339137110414645,1924.0,1454.388888888889,469.6111111111111,223.8834094919756,2.0975699457888717,,,,
1173.0,background,187.3118929,12.9782469,0.2050542961706587,2416.0,1454.388888888889,961.6111111111111,223.8834094919756,4.295142339010953,,,,
1177.0,background,187.3303288,12.3770123,0.10899535901077871,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
1178.0,background,187.3387258,8.1566225,1.2326123550115986,1243.0,1454.388888888889,-211.3888888888889,223.8834094919756,-0.9441918423904719,,,,
1185.0,background,187.347985,12.4508043,0.10523145461606984,448.0,1454.388888888889,-1006.3888888888889,223.8834094919756,-4.495147233877371,,,,
1190.0,background,187.3667933,8.7498027,1.0605515224086928,588.0,1454.388888888889,-866.3888888888889,223.8834094919756,-3.8698217561312505,,,,
1191.0,background,187.3694547,12.496207,0.10222055589694909,5.0,1454.388888888889,-1449.388888888889,223.8834094919756,-6.473855709888309,,,,
1192.0,background,187.3760471,7.9928597,1.2790776438768467,1390.0,1454.388888888889,-64.38888888888891,223.8834094919756,-0.28760009075704523,,,,
1199.0,background,187.3958061,8.0580083,1.259816257457811,1392.0,1454.388888888889,-62.388888888888914,223.8834094919756,-0.2786668696463864,,,,
1205.0,background,187.4075732,7.8233726,1.3274691368377223,2340.0,1454.388888888889,885.6111111111111,223.8834094919756,3.955679936805916,,,,
1213.0,background,187.4135137,12.5482441,0.09626234465502269,1092.0,1454.388888888889,-362.3888888888889,223.8834094919756,-1.6186500362452163,,,,
1216.0,background,187.4220147,12.0460966,0.12957441704750516,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
1226.0,background,187.4448543,8.0004899,1.275531391056977,981.0,1454.388888888889,-473.3888888888889,223.8834094919756,-2.1144438078867833,,,,
