name,category,ra_deg,dec_deg,v_kms,v_mean_kms,delta_v_kms,has_emission,slope_dex_per_Re,slope_error_dex_per_Re,gradient_method
950.0,background,186.7114036,11.557647,1100.0,1454.388888888889,,,,,
951.0,background,186.726503,11.6639359,2106.0,1454.388888888889,,,,,
962.0,background,186.746057,12.5056882,1172.0,1454.388888888889,,,,,
965.0,background,186.7628443,12.5607787,830.0,1454.388888888889,,,,,
966.0,background,186.7605852,15.4614659,1551.0,1454.388888888889,,,,,
967.0,background,186.7658563,12.8664417,1135.0,1454.388888888889,,,,,
968.0,background,186.7752955,13.3236918,1172.0,1454.388888888889,,,,,
977.0,background,186.7968529,12.0381804,57.0,1454.388888888889,,,,,
978.0,background,186.7966853,12.1145416,1172.0,1454.388888888889,,,,,
979.0,background,186.7986301,9.4207733,437.0,1454.388888888889,,,,,
984.0,background,186.8055801,12.7347647,1892.0,1454.388888888889,,,,,
990.0,background,186.8205856,16.0244642,1704.0,1454.388888888889,,,,,
1003.0,background,186.8604863,11.1076843,1104.0,1454.388888888889,,,,,
1010.0,background,186.8640813,12.290279,930.0,1454.388888888889,,,,,
1017.0,background,186.8814384,9.5956422,32.0,1454.388888888889,,,,,
1020.0,background,186.8833845,11.6151815,1379.0,1454.388888888889,,,,,
1025.0,background,186.9028317,8.154342,1070.0,1454.388888888889,,,,,
1027.0,background,186.9134916,12.8798909,77.0,1454.388888888889,,,,,
1030.0,background,186.9187168,13.0789836,791.0,1454.388888888889,,,,,
1035.0,background,186.9254486,12.0896455,146.0,1454.388888888889,,,,,
1036.0,background,186.9218156,12.3158886,1113.0,1454.388888888889,,,,,
1043.0,background,186.9402024,13.0088742,71.0,1454.388888888889,,,,,
1049.0,background,186.978472,8.090403,607.0,1454.388888888889,,,,,
1059.0,background,187.0018514,11.9498934,2216.0,1454.388888888889,,,,,
1062.0,background,187.0161468,9.8037122,547.0,1454.388888888889,,,,,
1069.0,background,187.027212,12.8981447,2326.0,1454.388888888889,,,,,
1073.0,background,187.0358723,12.0932857,1921.0,1454.388888888889,,,,,
1075.0,background,187.0513119,10.2976486,1808.0,1454.388888888889,,,,,
1076.0,background,187.0534826,10.5260342,1679.0,1454.388888888889,,,,,
1079.0,background,187.050112,10.3652855,1354.0,1454.388888888889,,,,,
1087.0,background,187.0619636,11.7898823,659.0,1454.388888888889,,,,,
1093.0,background,187.0780927,11.7002572,1476.0,1454.388888888889,,,,,
1101.0,background,187.0985017,13.1957565,1670.0,1454.388888888889,,,,,
1104.0,background,187.1169051,12.8236946,1707.0,1454.388888888889,,,,,
1110.0,background,187.1232946,17.0850198,1956.0,1454.388888888889,,,,,
1122.0,background,187.1737961,12.9158877,465.0,1454.388888888889,,,,,
1125.0,background,187.180447,11.7550324,162.0,1454.388888888889,,,,,
1129.0,background,187.1871314,12.8095314,12.0,1454.388888888889,,,,,
1131.0,background,187.1907795,12.0218433,1172.0,1454.388888888889,,,,,
1136.0,background,187.2046093,12.1318006,1172.0,1454.388888888889,,,,,
1146.0,background,187.2398351,13.2419339,677.0,1454.388888888889,,,,,
1148.0,background,187.2422494,12.6617298,1417.0,1454.388888888889,,,,,
1149.0,background,187.2451828,12.9079984,1172.0,1454.388888888889,,,,,
1154.0,background,187.2501631,13.9784745,1192.0,1454.388888888889,,,,,
1158.0,background,187.2625503,13.183801,1924.0,1454.388888888889,,,,,
1173.0,background,187.3118929,12.9782469,2416.0,1454.388888888889,,,,,
1177.0,background,187.3303288,12.3770123,1172.0,1454.388888888889,,,,,
1178.0,background,187.3387258,8.1566225,1243.0,1454.388888888889,,,,,
1185.0,background,187.347985,12.4508043,448.0,1454.388888888889,,,,,
1190.0,background,187.3667933,8.7498027,588.0,1454.388888888889,,,,,
1191.0,background,187.3694547,12.496207,5.0,1454.388888888889,,,,,
1192.0,background,187.3760471,7.9928597,1390.0,1454.388888888889,,,,,
1199.0,background,187.3958061,8.0580083,1392.0,1454.388888888889,,,,,
1205.0,background,187.4075732,7.8233726,2340.0,1454.388888888889,,,,,
1213.0,background,187.4135137,12.5482441,1092.0,1454.388888888889,,,,,
1216.0,background,187.4220147,12.0460966,1172.0,1454.388888888889,,,,,
1226.0,background,187.4448543,8.0004899,981.0,1454.388888888889,,,,,
1231.0,background,187.4536246,13.4294361,2244.0,1454.388888888889,,,,,
1242.0,background,187.4731182,14.0685841,1611.0,1454.388888888889,,,,,
1244.0,background,187.4847568,13.2200747,1172.0,1454.388888888889,,,,,
1250.0,background,187.4961534,12.3487189,1959.0,1454.388888888889,,,,,
1253.0,background,187.5091719,13.6365327,1338.0,1454.388888888889,,,,,
1259.0,background,187.5253517,12.3772044,1172.0,1454.388888888889,,,,,
1261.0,background,187.543047,10.7794918,1825.0,1454.388888888889,,,,,
1279.0,background,187.5725711,12.3285593,1349.0,1454.388888888889,,,,,
1283.0,background,187.576582,13.5776497,848.0,1454.388888888889,,,,,
1297.0,background,187.6332079,12.4901631,1555.0,1454.388888888889,,,,,
1298.0,background,187.6388495,12.9006515,1172.0,1454.388888888889,,,,,
1300.0,background,187.6443597,12.458119,1172.0,1454.388888888889,,,,,
1303.0,background,187.6693449,9.0156724,884.0,1454.388888888889,,,,,
1308.0,background,187.6912832,11.3431951,1739.0,1454.388888888889,,,,,
1314.0,background,187.704301,13.2238351,35.0,1454.388888888889,,,,,
1316.0,background,187.7059365,12.3911224,1284.0,1454.388888888889,,,,,
1317.0,background,187.7107846,12.736586,1172.0,1454.388888888889,,,,,
1318.0,background,187.714059,8.360007,980.0,1454.388888888889,,,,,
1321.0,background,187.7177136,16.7588428,940.0,1454.388888888889,,,,,
1327.0,background,187.7407131,12.2709806,758.0,1454.388888888889,,,,,
1340.0,background,187.793407,13.0973532,1540.0,1454.388888888889,,,,,
1343.0,background,187.8028829,13.1242729,1900.0,1454.388888888889,,,,,
1348.0,background,187.8155531,12.33177,1019.0,1454.388888888889,,,,,
1352.0,background,187.8315239,12.6115153,1766.0,1454.388888888889,,,,,
1355.0,background,187.8341502,14.1151537,1245.0,1454.388888888889,,,,,
1368.0,background,187.8855752,11.624746,1042.0,1454.388888888889,,,,,
1369.0,background,187.8889577,12.0638064,797.0,1454.388888888889,,,,,
1379.0,background,187.9142868,16.8529154,1507.0,1454.388888888889,,,,,
1386.0,background,187.9638828,12.6569935,1297.0,1454.388888888889,,,,,
1389.0,background,187.9667127,12.4818113,877.0,1454.388888888889,,,,,
