Age,ZoH,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C24668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2
1,0.00,-0.0888,-0.0343,0.5022,1.8328,1.2898,0.9142,2.1059,2.4344,4.1623,3.7398,0.0479,0.1359,2.2432,1.7511,1.3921,0.8076,0.7263,0.5066,1.9829,0.0211,0.0199
2,0.00,-0.0192,0.0201,0.7947,3.9855,2.7794,1.2869,2.6962,3.7332,2.6718,4.4719,0.0753,0.1821,2.9662,2.1815,1.7794,1.0806,0.8102,0.6029,2.4676,0.0335,0.0462
3,0.00,0.0113,0.0474,0.9196,4.7289,3.4646,1.4455,2.9126,4.3490,2.2916,4.8547,0.0859,0.2059,3.3763,2.3638,1.8972,1.1972,0.8524,0.6463,2.7168,0.0398,0.0595
4,0.00,0.0199,0.0542,0.9856,5.0160,3.7057,1.4988,2.9864,4.5070,2.1599,4.9491,0.0911,0.2162,3.5579,2.4214,1.9501,1.2297,0.8595,0.6553,2.8017,0.0409,0.0632
5,0.00,0.0296,0.0629,1.0468,5.2776,3.9303,1.5542,3.0631,4.6792,2.0332,5.0331,0.0968,0.2264,3.7354,2.4808,2.0033,1.2756,0.8715,0.6684,2.8951,0.0417,0.0669
6,0.00,0.0373,0.0696,1.0926,5.4892,4.0986,1.5977,3.1200,4.8078,1.9364,5.1100,0.1007,0.2338,3.8658,2.5265,2.0437,1.3008,0.8811,0.6782,2.9610,0.0420,0.0688
8,0.00,0.0407,0.0717,1.1418,5.6678,4.2158,1.6300,3.1536,4.8609,1.8512,5.1841,0.1033,0.2403,4.0179,2.5598,2.0736,1.3094,0.8793,0.6770,3.0289,0.0425,0.0714
10,0.00,0.0481,0.0785,1.2063,5.8693,4.3891,1.6819,3.2203,4.9922,1.7376,5.2533,0.1093,0.2510,4.1866,2.6129,2.1222,1.3399,0.8849,0.6850,3.1497,0.0435,0.0764
12,0.00,0.0586,0.0889,1.2740,6.0766,4.5898,1.7463,3.3078,5.1769,1.6130,5.3125,0.1177,0.2637,4.3372,2.6761,2.1804,1.3851,0.8950,0.6988,3.3025,0.0450,0.0829
15,0.00,0.0713,0.1020,1.3572,6.2838,4.7632,1.8258,3.4029,5.3791,1.4785,5.4399,0.1280,0.2780,4.5285,2.7568,2.2491,1.4306,0.9034,0.7132,3.4909,0.0474,0.0911
1,0.35,-0.0234,0.0225,0.7918,3.3950,2.7150,1.4115,2.8004,5.0545,3.2313,5.0212,0.0846,0.1968,3.0222,2.3925,2.0432,1.2480,0.9221,0.7101,3.0696,0.0363,0.0526
2,0.35,0.0426,0.0807,1.0749,4.9264,4.3325,1.7191,3.2422,6.2961,2.3032,5.6146,0.1116,0.2487,3.9266,2.7252,2.3521,1.4634,1.0040,0.7863,3.5098,0.0417,0.0669
3,0.35,0.0531,0.0884,1.1724,5.3252,4.6662,1.7872,3.3338,6.4897,2.1288,5.7456,0.1181,0.2609,4.1758,2.7911,2.4128,1.5041,1.0174,0.7960,3.5940,0.0420,0.0693
4,0.35,0.0664,0.1006,1.2670,5.6223,4.9414,1.8602,3.4372,6.7306,1.9695,5.8594,0.1270,0.2750,4.4066,2.8686,2.4863,1.5534,1.0287,0.8088,3.7416,0.0433,0.0741
5,0.35,0.0736,0.1071,1.3358,5.8320,5.1308,1.9103,3.5075,6.8842,1.8598,5.9225,0.1335,0.2850,4.5543,2.9165,2.5352,1.5822,1.0381,0.8184,3.8488,0.0441,0.0781
6,0.35,0.0813,0.1146,1.3942,5.9935,5.2868,1.9550,3.5700,7.0272,1.7681,5.9742,0.1394,0.2942,4.6847,2.9588,2.5768,1.6110,1.0462,0.8280,3.9543,0.0450,0.0823
8,0.35,0.0890,0.1217,1.4757,6.1588,5.4444,2.0034,3.6333,7.1469,1.6599,6.0242,0.1457,0.3047,4.8498,3.0067,2.6205,1.6362,1.0478,0.8327,4.0843,0.0455,0.0870
10,0.35,0.0996,0.1323,1.5521,6.3065,5.5838,2.0557,3.6991,7.3008,1.5587,6.0878,0.1514,0.3148,5.0070,3.0575,2.6634,1.6638,1.0479,0.8376,4.2225,0.0465,0.0921
12,0.35,0.1147,0.1483,1.6525,6.4300,5.7550,2.1257,3.7943,7.5289,1.4463,6.1716,0.1610,0.3290,5.1767,3.1314,2.7257,1.7093,1.0531,0.8524,4.4195,0.0484,0.0998
15,0.35,0.1352,0.1705,1.7795,6.5299,5.9058,2.2109,3.9104,7.8073,1.3170,6.2554,0.1755,0.3464,5.3610,3.2195,2.7975,1.7645,1.0597,0.8754,4.6915,0.0508,0.1104
1,0.67,-0.0279,0.0120,0.8774,3.8711,3.1506,1.5873,2.9447,6.0333,3.1680,5.4444,0.0882,0.1948,2.9303,2.5224,2.3780,1.3513,1.0220,0.7413,3.3353,0.0254,0.0329
2,0.67,0.0383,0.0708,1.2455,5.4788,5.3464,1.9458,3.4809,7.6192,2.2673,6.1689,0.1274,0.2722,4.2177,2.9280,2.7639,1.6357,1.1076,0.8334,4.0553,0.0397,0.0658
3,0.67,0.0877,0.1214,1.5350,6.0524,6.0315,2.1705,3.8179,8.6972,1.8509,6.5627,0.1607,0.3215,4.9676,3.1920,3.0039,1.8273,1.1724,0.9175,4.6663,0.0471,0.0838
4,0.67,0.1202,0.1560,1.7183,6.3190,6.3973,2.3004,4.0084,9.2641,1.6296,6.7370,0.1812,0.3515,5.3837,3.3306,3.1225,1.9282,1.2006,0.9581,5.0312,0.0501,0.0925
5,0.67,0.1298,0.1662,1.7436,6.3882,6.5236,2.3394,4.0677,9.4061,1.5577,6.7814,0.1875,0.3606,5.5014,3.3735,3.1536,1.9489,1.2046,0.9659,5.0657,0.0501,0.0930
6,0.67,0.1390,0.1763,1.7869,6.4516,6.5898,2.3696,4.1129,9.5309,1.5039,6.8153,0.1927,0.3685,5.6006,3.4074,3.1854,1.9670,1.2103,0.9755,5.1527,0.0500,0.0934
8,0.67,0.1601,0.1995,1.9171,6.5527,6.7402,2.4416,4.2178,9.8190,1.3828,6.8925,0.2048,0.3863,5.8280,3.4913,3.2563,2.0196,1.2229,0.9997,5.4185,0.0507,0.0968
10,0.67,0.1887,0.2309,2.1398,6.6229,6.9323,2.5329,4.3510,10.1741,1.2345,6.9886,0.2195,0.4083,6.1146,3.5926,3.3417,2.0829,1.2379,1.0269,5.8439,0.0529,0.1042
12,0.67,0.2209,0.2667,2.2779,6.5607,7.0150,2.5933,4.4517,10.4574,1.1500,7.0598,0.2313,0.4253,6.3053,3.6834,3.4148,2.1299,1.2424,1.0509,6.1267,0.0541,0.1078
15,0.67,0.2848,0.3365,2.4229,6.3954,7.1129,2.6584,4.5845,10.9122,1.0507,7.0285,0.2502,0.4463,6.4610,3.8048,3.4981,2.1878,1.2553,1.0937,6.5567,0.0539,0.1115
