,Age,ZoH,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C24668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2,AoFe
111,2,0.67,0.0383,0.0708,1.2455,5.4788,5.3464,1.9458,3.4809,7.6192,2.2673,6.1689,0.1274,0.2722,4.2177,2.928,2.7639,1.6357,1.1076,0.8334,4.0553,0.0397,0.0658,0.3
112,3,0.67,0.0877,0.1214,1.535,6.0524,6.0315,2.1705,3.8179,8.6972,1.8509,6.5627,0.1607,0.3215,4.9676,3.192,3.0039,1.8273,1.1724,0.9175,4.6663,0.0471,0.0838,0.3
113,4,0.67,0.1202,0.156,1.7183,6.319,6.3973,2.3004,4.0084,9.2641,1.6296,6.737,0.1812,0.3515,5.3837,3.3306,3.1225,1.9282,1.2006,0.9581,5.0312,0.0501,0.0925,0.3
114,5,0.67,0.1298,0.1662,1.7436,6.3882,6.5236,2.3394,4.0677,9.4061,1.5577,6.7814,0.1875,0.3606,5.5014,3.3735,3.1536,1.9489,1.2046,0.9659,5.0657,0.0501,0.093,0.3
115,6,0.67,0.139,0.1763,1.7869,6.4516,6.5898,2.3696,4.1129,9.5309,1.5039,6.8153,0.1927,0.3685,5.6006,3.4074,3.1854,1.967,1.2103,0.9755,5.1527,0.05,0.0934,0.3
116,8,0.67,0.1601,0.1995,1.9171,6.5527,6.7402,2.4416,4.2178,9.819,1.3828,6.8925,0.2048,0.3863,5.828,3.4913,3.2563,2.0196,1.2229,0.9997,5.4185,0.0507,0.0968,0.3
117,10,0.67,0.1887,0.2309,2.1398,6.6229,6.9323,2.5329,4.351,10.1741,1.2345,6.9886,0.2195,0.4083,6.1146,3.5926,3.3417,2.0829,1.2379,1.0269,5.8439,0.0529,0.1042,0.3
118,12,0.67,0.2209,0.2667,2.2779,6.5607,7.015,2.5933,4.4517,10.4574,1.15,7.0598,0.2313,0.4253,6.3053,3.6834,3.4148,2.1299,1.2424,1.0509,6.1267,0.0541,0.1078,0.3
119,15,0.67,0.2848,0.3365,2.4229,6.3954,7.1129,2.6584,4.5845,10.9122,1.0507,7.0285,0.2502,0.4463,6.461,3.8048,3.4981,2.1878,1.2553,1.0937,6.5567,0.0539,0.1115,0.3
120,1,-2.25,-0.2572,-0.149,-0.4347,-4.2937,-3.1467,-0.2036,-0.8295,1.4433,6.9993,-0.0706,0.0162,-0.0026,0.2327,0.0603,0.169,-0.1685,-0.0496,-0.4578,0.8483,0.0136,-0.0056,0.5
121,2,-2.25,-0.2016,-0.1207,-0.2101,-2.383,-2.0388,-0.0679,-0.3574,0.7673,5.0155,0.3281,0.0071,0.0105,0.4252,0.2007,0.2915,-0.0511,-0.0063,-0.3577,0.7711,0.0127,-0.0044,0.5
122,3,-2.25,-0.186,-0.1137,-0.1152,-1.862,-1.7522,-0.0273,-0.1911,0.4939,4.5837,0.4408,0.0052,0.0137,0.4437,0.294,0.3362,-0.0062,0.0082,-0.3268,0.7897,0.012,-0.0046,0.5
123,4,-2.25,-0.1729,-0.1079,-0.0403,-1.4737,-1.4904,-0.0049,-0.0812,0.281,4.2494,0.4971,0.0039,0.0184,0.5414,0.3583,0.3519,0.0215,0.0104,-0.315,0.8128,0.0115,-0.0049,0.5
124,5,-2.25,-0.1608,-0.1022,0.0268,-1.0895,-1.2473,0.0151,0.0086,0.1102,3.9359,0.5342,0.0034,0.0226,0.6275,0.4151,0.3664,0.0422,0.0121,-0.3061,0.8425,0.0111,-0.0052,0.5
